ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,ev_score,risk_score,benchmark_score,reliability,expected_value_pct,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,gate_notes,missing_items
8306.T,三菱UFJ FG,金融,監視,50.5,51.2,49.8,55.0,50.0,50.0,74.6,58.2,44.8,56.0,12.29,61.7,28.9,13.4,78.7,再選定候補,未取得,質的データ未接続,イベント未接続,41.3,23.0,57.1,3.9,29.0,29.6,-31.8,-16.9,3359.0,2026-06-18 15:09,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
5020.T,ENEOS HD,資源,監視,50.0,51.7,50.6,55.0,50.0,50.0,67.8,60.4,49.3,48.0,8.88,61.9,22.7,12.6,73.5,再選定候補,未取得,質的データ未接続,イベント未接続,27.9,15.9,96.7,-9.7,15.6,69.2,-29.9,-16.2,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
1812.T,鹿島,その他,監視,47.9,48.8,45.1,55.0,50.0,50.0,70.7,52.5,44.1,48.0,10.34,60.8,25.5,12.2,70.4,再選定候補,未取得,質的データ未接続,イベント未接続,35.4,18.4,65.8,-14.9,23.0,38.3,-29.0,-27.9,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
7012.T,川崎重工業,防衛・重工,監視,47.8,48.8,46.0,55.0,50.0,50.0,70.5,43.6,47.6,48.0,10.26,60.8,29.1,17.9,69.3,再選定候補,未取得,質的データ未接続,イベント未接続,45.3,18.7,59.2,-11.6,32.9,31.7,-42.6,-23.1,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8750.T,第一生命HD,金融,監視,47.2,48.7,44.6,55.0,50.0,50.0,66.7,61.6,36.7,48.0,8.33,60.7,22.3,12.2,72.2,再選定候補,未取得,質的データ未接続,イベント未接続,27.4,20.4,55.7,5.1,15.1,28.1,-29.1,-15.7,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
9983.T,ファーストリテイリング,その他,監視,47.1,48.9,46.6,55.0,50.0,50.0,64.1,56.1,37.5,48.0,7.06,60.8,22.5,15.9,70.1,再選定候補,未取得,質的データ未接続,イベント未接続,22.4,24.3,67.4,15.4,10.0,39.9,-37.9,-12.2,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
6971.T,京セラ,その他,監視,47.0,49.7,47.4,55.0,50.0,50.0,58.7,57.8,41.6,48.0,4.34,61.1,16.5,13.8,69.5,再選定候補,未取得,質的データ未接続,イベント未接続,16.4,11.4,92.3,20.3,4.0,64.8,-32.9,-16.0,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
2802.T,味の素,その他,監視,46.8,48.0,43.2,55.0,50.0,50.0,68.3,57.3,37.6,48.0,9.15,60.5,22.8,10.8,68.0,再選定候補,未取得,質的データ未接続,イベント未接続,34.3,16.2,45.9,6.1,22.0,18.4,-25.6,-25.6,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8725.T,MS&AD,金融,監視,46.6,47.9,42.6,55.0,50.0,50.0,67.5,61.1,35.3,48.0,8.77,60.4,24.2,13.7,75.4,再選定候補,未取得,質的データ未接続,イベント未接続,36.3,20.1,34.7,1.0,23.9,7.2,-32.6,-12.0,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
5019.T,出光興産,資源,監視,45.2,47.0,40.7,55.0,50.0,50.0,62.9,56.8,36.0,48.0,6.43,60.1,19.7,12.5,65.6,再選定候補,未取得,質的データ未接続,イベント未接続,24.9,15.3,57.8,-5.3,12.5,30.3,-29.7,-21.3,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
8001.T,伊藤忠商事,商社,監視,45.1,46.3,38.8,55.0,50.0,50.0,66.2,63.4,29.2,48.0,8.11,59.8,22.1,11.7,71.0,再選定候補,未取得,質的データ未接続,イベント未接続,27.2,25.4,31.2,-12.2,14.8,3.7,-27.9,-14.7,,,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
4063.T,信越化学工業,その他,監視,43.9,46.6,41.9,55.0,50.0,50.0,56.0,45.6,33.1,56.0,3.02,59.9,18.9,19.8,61.1,再選定候補,未取得,質的データ未接続,イベント未接続,16.5,21.6,63.6,23.9,4.2,36.1,-47.1,-14.9,7476.0,2026-06-18 15:09,財務未取得,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
5801.T,古河電工,その他,監視,43.5,65.1,85.2,55.0,50.0,50.0,81.7,37.6,94.7,48.0,15.86,67.1,35,21.9,84.5,監視,未取得,質的データ未接続,イベント未接続,82.7,38.2,684.6,87.0,70.4,657.1,-52.1,-19.5,,,100社再選定で監視 / 財務未取得 / 価格過熱・反動・指数劣後注意,PER/PBR/ROE/EPS/BPS/営業利益率/FCF/自己資本比率
