updated_at,ticker,company,usefulness_level,primary_purpose,official_two_earnings_status,target_formula_available_points,proxy_score_100,sales_momentum_pctile,profit_momentum_pctile,price_1y_pctile,liquidity_pctile,drawdown_resilience_pctile,revenue_yoy_pct,revenue_cagr_3period_pct,profit_yoy_pct,profit_cagr_3period_pct,ret1y_pct,volume_ratio20,max_drawdown60_pct,score_use_status,required_next_step,proxy_rank
2026/05/22 13:56,3402.T,東レ,C データ補完後に判定,時流テーマ,未入力,5,30.9,,,37.4,16.7,35.4,,,,,11.9,0.3,-21.7,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,6301.T,コマツ,B 観察継続,景気・マクロ感応,未入力,50,30.8,30.9,20.1,59.6,22.2,33.3,0.7,3.4,-13.7,-3.3,44.3,0.31,-22,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,45
2026/05/22 13:56,7832.T,バンダイナムコHD,D 低優先・比較のみ,補助比較,未入力,5,30.7,,,8.1,26.8,68.7,,,,,-19.3,0.32,-15.4,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,9697.T,カプコン,D 低優先・比較のみ,補助比較,未入力,5,29.3,,,6.1,41.9,51.5,,,,,-21.3,0.37,-18.8,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,6723.T,ルネサス,B 観察継続,時流テーマ,未入力,50,27.7,4.9,12.8,92.9,70.2,8.1,-2,-5.2,-9.8,-28.3,120.2,0.52,-28.2,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,46
2026/05/22 13:56,6326.T,クボタ,B 観察継続,景気・マクロ感応,未入力,50,27.3,11.8,15.1,72.7,53,23.2,0.1,0,-15.9,-10.1,66.8,0.43,-23.6,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,47
2026/05/22 13:56,8001.T,伊藤忠商事,B 観察継続,景気・マクロ感応,未入力,50,27,27,6,49.5,22.2,71.2,0.7,2.8,-39.2,-20,28.5,0.31,-15.2,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,48
2026/05/22 13:56,4661.T,オリエンタルランド,D 低優先・比較のみ,景気・マクロ感応,未入力,5,26.6,,,3,70.2,18.2,,,,,-32.3,0.52,-24.7,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,9022.T,JR東海,D 低優先・比較のみ,景気・マクロ感応,未入力,5,25.5,,,43.4,10.1,14.1,,,,,16.1,0.28,-26.1,データ不足,直近2回決算と会社予想修正を公式資料から入力,
2026/05/22 13:56,7202.T,いすゞ自動車,B 観察継続,景気・マクロ感応,未入力,50,25.2,39.2,16,42.4,3.5,11.1,7.5,1.1,-11.2,-15,14.9,0.22,-27.3,候補探索のみ（購入判断不可）,直近2回決算と会社予想修正を公式資料から入力,49
