ticker,name,sector,action,final_score,pre_score,quant_score,financial_score,qualitative_score,raw_qualitative_score,qualitative_usage_gate,event_score,ev_score,raw_ev_score,risk_score,benchmark_score,reliability,expected_value_pct,raw_expected_value_pct,ev_confidence_pct,data_completion_pct,ev_confidence_reason,up_probability,upside_pct,downside_pct,reselect_score,universe_status,financial_status,qualitative_note,event_note,cagr5,cagr10,one_year,sixty_day,sp5_diff,sp1_diff,max_dd5,max_dd1,price,price_time,data_sources,gate_notes,missing_items,portfolio_rank,allocation_formula,allocation_score_component,allocation_ev_multiplier,allocation_action_multiplier,allocation_raw_weight,allocation_raw_share_before_cap_pct,allocation_cap_pct,allocation_cap_reason,stock_sleeve_weight_pct,target_weight_pct,target_full_amount_yen,initial_buy_budget_yen,initial_shares,initial_buy_yen
8316.T,三井住友FG,金融,購入候補,66.8,64.7,51.1,86.0,65.0,70.0,短期確認: 過去反応が揃うまで購入根拠にしない,72.2,79.8,81.2,58.6,46.9,100.0,14.89,15.59,95.5,96.1,財務1.00 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度1.00,66.9,30.0,12.3,80.1,再選定候補,pass,総合候補/主候補 / 短期反応のみのため65点上限,確認 / 4.31%,39.9,22.7,66.8,0.8,27.5,39.3,-29.4,-19.3,6504.0,2026-06-19 15:04,公式財務確認 / 6月イベント / チャンネル質的 / 価格,,,1,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",21.8,1.496,1.0,32.62,23.5,18.0,通常候補のため株式枠18%上限,18.0,15.3,367200,64800,9,58536
8053.T,住友商事,商社,購入候補,66.6,64.4,59.8,81.0,65.0,78.0,短期確認: 過去反応が揃うまで購入根拠にしない,52.6,80.0,81.4,53.1,57.6,100.0,14.98,15.68,95.5,96.1,財務1.00 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度1.00,66.8,31.6,15.0,82.4,再選定候補,pass,総合候補/主候補 / 短期反応のみのため65点上限,確認 / -0.61%,41.2,25.6,99.8,11.9,28.9,72.3,-35.8,-18.8,6385.0,2026-06-19 15:04,公式財務確認 / 6月イベント / チャンネル質的 / 価格,,,2,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",21.6,1.499,1.0,32.386,23.3,18.0,通常候補のため株式枠18%上限,18.0,15.3,367200,64800,10,63850
6501.T,日立製作所,AIインフラ,購入候補,58.4,56.2,41.7,73.0,65.0,70.0,短期確認: 過去反応が揃うまで購入根拠にしない,63.4,71.5,72.5,47.4,34.6,100.0,10.76,11.27,95.5,96.1,財務1.00 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度1.00,63.6,27.6,16.3,69.8,再選定候補,pass,データセンター・電力・冷却・電線/主候補 / 短期反応のみのため65点上限,確認 / 2.11%,36.5,28.5,31.9,1.1,24.1,4.4,-38.7,-22.8,4767.0,2026-06-19 15:04,公式財務確認 / 6月イベント / チャンネル質的 / 価格,,,3,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",13.4,1.359,1.0,18.206,13.1,18.0,通常候補のため株式枠18%上限,15.4,13.1,314246,55455,11,52437
8058.T,三菱商事,商社,調査優先,57.6,58.5,54.9,62.0,65.0,77.4,比較材料: 量的・財務が通る場合だけ補助,54.3,73.8,81.3,56.5,51.6,78.0,11.91,15.63,76.2,79.2,財務0.64 / イベント0.76 / 質的0.72 / 価格1.00 / 信頼度0.90,64.5,32.6,14.2,80.6,再選定候補,補助,円安・資源・商社/補助質的スコア（購入スコアではない） / 探索スコアのため65点上限,過去イベント反応 / 20日超過1.01%,42.5,27.5,77.3,-1.4,30.2,49.8,-33.7,-16.8,4570.0,2026-06-18 15:30,補助財務 / 補助イベント反応 / 補助質的 / 価格,財務は補助データ,公式決算原本照合 / 売上前年比 / 利益前年比,4,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",12.6,1.397,0.65,11.441,8.2,10.0,調査優先のため株式枠10%上限,10.0,8.5,204000,36000,7,31990
6503.T,三菱電機,AIインフラ,小口,57.5,62.1,61.9,51.0,64.0,64.0,短期確認: 過去反応が揃うまで購入根拠にしない,68.2,72.1,75.3,56.6,61.9,88.0,11.06,12.67,87.3,89.0,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,65.9,27.2,14.3,77.8,再選定候補,partial,総合候補/複合候補 / 短期反応のみのため65点上限,確認 / 3.29%,33.3,20.0,128.8,12.3,20.9,101.3,-34.0,-16.3,6068.0,2026-06-19 15:04,公式財務確認 / 6月イベント / チャンネル質的 / 価格,財務partial,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,5,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",12.5,1.369,0.7,11.976,8.6,8.0,小口扱いのため株式枠8%上限,8.0,6.8,163200,28800,4,24272
6762.T,TDK,その他,小口,56.0,60.5,68.4,51.0,56.0,56.0,短期確認: 過去反応が揃うまで購入根拠にしない,57.6,71.3,74.3,36.4,68.1,88.0,10.63,12.17,87.3,89.0,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,65.3,29.6,19.4,66.1,再選定候補,partial,フィジカルAI/数値確認済み / 短期反応のみのため65点上限,確認 / 0.65%,34.9,26.5,146.4,57.7,22.6,118.9,-46.3,-28.2,3938.0,2026-06-19 15:04,公式財務確認 / 6月イベント / チャンネル質的 / 価格,財務partial,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,6,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",11.0,1.354,0.7,10.428,7.5,8.0,小口扱いのため株式枠8%上限,8.0,6.8,163200,28800,7,27566
8411.T,みずほFG,金融,調査優先,55.4,56.9,51.9,83.0,50.0,50.0,未使用: 質的根拠未接続,50.0,67.1,75.3,50.9,50.7,62.0,8.57,12.65,67.7,71.7,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,63.9,28.4,14.0,75.9,再選定候補,補助,質的データ未接続,イベント未接続,38.3,20.1,82.1,2.3,26.0,54.6,-33.4,-24.6,8249.0,2026-06-18 15:30,補助財務 / 価格,財務は補助データ,公式決算原本照合,7,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",10.4,1.286,0.65,8.691,6.3,10.0,調査優先のため株式枠10%上限,8.6,7.3,174478,30790,3,24747
8031.T,三井物産,商社,調査優先,53.4,54.5,52.6,62.0,55.0,76.1,仮説のみ: 購入根拠にしない,50.0,68.0,75.4,47.3,51.2,70.0,8.98,12.71,70.6,74.7,財務0.64 / イベント0.55 / 質的0.72 / 価格1.00 / 信頼度0.86,63.0,31.1,17.5,76.1,再選定候補,補助,円安・資源・商社/補助質的スコア（購入スコアではない） / 仮説のみのため55点上限,イベント未接続,38.5,27.8,83.4,-5.8,26.2,55.8,-41.7,-19.3,4719.0,2026-06-18 15:30,補助財務 / 補助質的 / 価格,財務は補助データ,公式決算原本照合,8,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",8.4,1.299,0.65,7.094,5.1,10.0,調査優先のため株式枠10%上限,7.4,6.3,151023,26651,5,23595
8750.T,第一生命HD,金融,調査優先,52.7,54.6,44.6,86.0,50.0,50.0,未使用: 質的根拠未接続,50.0,62.3,68.2,61.6,36.7,62.0,6.17,9.12,67.7,71.7,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,63.0,22.3,12.2,72.2,再選定候補,補助,質的データ未接続,イベント未接続,27.4,20.4,55.7,5.1,15.1,28.1,-29.1,-15.7,1820.5,2026-06-18 15:30,補助財務 / 価格,財務は補助データ,公式決算原本照合,9,"raw = max(総合点-45,1) × (1+信頼度補正後EV/30) × 扱い別係数",7.7,1.206,0.65,6.034,4.3,10.0,調査優先のため株式枠10%上限,6.6,5.6,135452,23903,13,23666
