symbol,name,sector,account_type,buy_date,quantity,average_cost_yen,acquisition_cost_yen,quote_date,quote_time_jst,latest_price_yen,market_value_yen,unrealized_pnl_yen,unrealized_pnl_pct,portfolio_weight_pct,day_change_yen,day_change_pct,quote_status,quote_fetched_at_jst,quote_last_success_at_jst,purchase_gate_reference,monitor_action,next_check,quote_source
1801.T,大成建設,建設,NISA成長投資枠,2026-07-14,3,13520,40560,2026-07-15,14:26:56,14130,42390,1830,4.511834319526628,2.066849086373716,610,4.511834,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,STOP,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
1812.T,鹿島,建設,NISA成長投資枠,2026-07-14,14,5559,77826,2026-07-15,14:27:21,5693,79702,1876,2.4105054865983093,3.886105352256615,134,2.4105055,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
5333.T,NGK,電力・素材,NISA成長投資枠,2026-07-14,5,6617,33085,2026-07-15,14:27:35,6730,33650,565,1.7077225328698806,1.6407046887585641,113,1.7077225,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,STOP,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
5803.T,フジクラ,電線,NISA成長投資枠,2026-07-14,8,4800,38400,2026-07-15,14:27:40,5115,40920,2520,6.5625,1.9951749142347832,315,6.5625,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,STOP,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6146.T,ディスコ,半導体,NISA成長投資枠,2026-07-14,1,71650,71650,2026-07-15,14:27:41,73080,73080,1430,1.9958129797627355,3.5632302720498035,1430,1.9952561,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,STOP,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6383.T,ダイフク,機械,NISA成長投資枠,2026-07-14,6,6602,39612,2026-07-15,14:27:38,6732,40392,780,1.9691002726446531,1.9694307217930438,130,1.9691002,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,STOP,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6501.T,日立製作所,総合電機,NISA成長投資枠,2026-07-14,15,4802,72030,2026-07-15,14:27:40,4746,71190,-840,-1.1661807580174928,3.4710777650140328,-56,-1.1661807,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6503.T,三菱電機,総合電機,NISA成長投資枠,2026-07-14,14,5592,78288,2026-07-15,14:27:35,5717,80038,1750,2.2353361945636623,3.902488020174085,125,2.2349365,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6504.T,富士電機,電機,NISA成長投資枠,2026-07-14,6,12760,76560,2026-07-15,14:27:34,12850,77100,540,0.7053291536050157,3.7592371917766805,90,0.7053292,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6762.T,TDK,電子部品,NISA成長投資枠,2026-07-14,23,3234,74382,2026-07-15,14:27:37,3213,73899,-483,-0.6493506493506493,3.6031630250986373,-21,-0.64935064,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
6861.T,キーエンス,FA,NISA成長投資枠,2026-07-14,2,75390,150780,2026-07-15,14:27:35,76450,152900,2120,1.4060220188353894,7.455089061253625,1060,1.4056491,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
7012.T,川崎重工業,重工,NISA成長投資枠,2026-07-14,25,2690,67250,2026-07-15,14:27:38,2751.5,68787.5,1537.5,2.2862453531598512,3.353936813610096,61.5,2.2862453,OK,2026-07-15 14:42:41,2026-07-15 14:42:41,PASS,保有開始・5営業日後確認待ち,2026-07-22,Yahoo Finance JP full-market screener (delayed)
