generated_at,source_row,ticker,company,source_name_raw,theme,role,portfolio_weight_pct,source_return_pct,computed_return_pct,current_price_or_value,reference_price_or_value,estimated_units,estimated_cost_value_man_yen,estimated_market_value_man_yen,estimated_unrealized_pnl_man_yen,actual_weight_pct,estimated_income_or_metric,estimated_risk_adjustment,estimated_total_contribution,source_action_memo_raw
2026/05/27 10:51,44,3962,チェンジHD,????,中小型・成長,検証・見直し枠,3%,-30.9%,-30.9,981,1420,2980,423,292.3,-130.8,1.1%,22.9,-30.0,-138.0,24/10/1 ?1%?1410?2%?3%
2026/05/27 10:51,45,4373,シンプレクスHD,??????,中小型・成長,分散補助枠,2%,+92.8%,92.8,1037,538,4920,265,510.2,+245.5,1.8%,22.4,+7.2,+275.1,24/9/20 ?1%?2380?1%?2%
2026/05/27 10:51,47,1306,TOPIX連動型ETF,TOPIX???,指数・ETF,市場ベータの土台,5%,+99.8%,99.8,412.4,206.4,24225,500,999.0,+499.0,3.6%,94.9,-60.6,+533.4,22/9/16 ?5%?1998.5?10%?5%
2026/05/27 10:51,48,1321,日経225連動型ETF,???????,指数・ETF,市場ベータの土台,5%,+123.3%,123.3,66210,29645.87,169,500,1117.3,+617.0,4.0%,79.4,-92.6,+603.8,22/9/16 ?5%?28315?10%?5%
2026/05/27 10:51,49,2080,PBR1倍割れ改善ETF,??? 1??,指数・ETF,市場ベータの土台,4%,+81.9%,81.9,1892,1040,5000,520,946.0,+426.0,3.4%,55.8,+0.0,+481.8,23/9/22 ?4%?1040?0%?4%
2026/05/27 10:51,50,2516,東証グロース250 ETF,???????,指数・ETF,市場ベータの土台,8%,+22.5%,22.5,655.5,535.2,17750,950,1163.5,+213.5,4.2%,0,-43.5,+170.1,27/9/20 ?2%?515?6%?8%
2026/05/27 10:51,84,4726,SB??????,SB??????,個別テーマ,分散補助枠,0%,+15.2%,15.2,2950,2560,0,0,0.0,+0.0,0.0%,4.7,+3.3,+8.0,24/6/7 ?1%?2950?+15%?1%?0%
2026/05/27 10:51,85,2427,????????,????????,個別テーマ,分散補助枠,0%,+25.8%,25.8,1755,1395,0,0,0.0,+0.0,0.0%,0.0,+26.0,+26.0,23/12/13 ?1%?1755?+26%??1%?0%
2026/05/27 10:51,86,6069,??????,??????,個別テーマ,分散補助枠,0%,+16.5%,16.5,1050,901,0,0,0.0,+0.0,0.0%,4.2,-8.5,-4.3,23/9/22 ?1%?1050?+17%??1%?0%
2026/05/27 10:51,87,9104,????,????,個別テーマ,分散補助枠,0%,+31.6%,31.6,3425,2602,0,0,0.0,+0.0,0.0%,34.6,+94.8,+129.4,22/9/9 ?3%?3425?+32%??3%?0%
2026/05/27 10:51,89,9603,???,???,個別テーマ,検証・見直し枠,0%,-21.9%,-21.9,1746,2235,0,0,0.0,+0.0,0.0%,1.3,-74.3,-73.0,24/10/1 ?2%?1685?-25%??2%?0%
2026/05/27 10:51,90,4061,???,???,個別テーマ,検証・見直し枠,0%,-25.9%,-25.9,2710,3655,0,0,0.0,+0.0,0.0%,4.8,-30.9,-26.1,23/6/60 ?1%?2710?-26%??1%?0%
2026/05/27 10:51,91,5214,??????,??????,個別テーマ,検証・見直し枠,0%,-6.6%,-6.6,2520,2698,0,0,0.0,+0.0,0.0%,10.4,-16.6,-6.2,23/6/30 ?1%?2520?-7%??1%?0%
2026/05/27 10:51,92,9517,??????,??????,個別テーマ,検証・見直し枠,0%,-34.6%,-34.6,1401,2143,0,0,0.0,+0.0,0.0%,2.9,-69.2,-66.3,23/5/15 ?2%?1401?-35%??2%?0%
2026/05/27 10:51,93,7453,????,????,個別テーマ,検証・見直し枠,0%,-42.8%,-42.8,1180,2064,0,0,0.0,+0.0,0.0%,1.0,-87.3,-86.3,22/1/7 ?1%?1700?-43%??2%?1%
2026/05/27 10:51,94,7172,???,???,個別テーマ,検証・見直し枠,0%,-15.0%,-15,1149,1352,0,0,0.0,+0.0,0.0%,0.0,-15.0,-15.0,21/11/26 ?1%?1149?-15%??1%?0%
