updated_at,ticker,month,month_close,monthly_return_pct,monthly_volume,source
2026/05/20 01:43,8035.T,2018-05,6340,,87157200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-06,6385,0.71,88437300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-07,6291.67,-1.462,75285600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-08,5203.33,-17.298,107467200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-09,5228.33,0.48,124352700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-10,5291.67,1.211,98318100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-11,4171.67,-21.165,94889100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2018-12,5211.67,24.93,91778700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-01,5050,-3.102,66272400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-02,5333.33,5.611,78136200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-03,5881.67,10.281,78715800,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-04,4930,-16.18,90140100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-05,5040,2.231,92519700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-06,6231.67,23.644,110784300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-07,6335,1.658,84896400,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-08,6855,8.208,78725700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-09,7358.33,7.343,80589000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-10,7533.33,2.378,70005900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-11,7975,5.863,63864600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2019-12,8166.67,2.403,67452900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-01,7441.67,-8.878,74362200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-02,6785,-8.824,147098100,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-03,7646.67,12.7,101253000,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-04,7166.67,-6.277,76302600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-05,8813.33,22.977,92990700,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-06,9600,8.926,89334300,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-07,9050,-5.729,57897900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-08,9110,0.663,62974200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-09,9300,2.086,50079600,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-10,11823.33,27.133,60855900,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-11,12800,8.261,48340200,Yahoo Finance chart API 1mo
2026/05/20 01:43,8035.T,2020-12,13270,3.672,68573400,Yahoo Finance chart API 1mo
