口座数,ticker,銘柄,株式内比率,元本比率,6/18-24初回購入額,7/15前後追加購入額,8/17-21追加購入額,最終購入額,保守実績仮説利回り,警戒理由
4,8035.T,東京エレクトロン,6.3%,4.4%,210000,120000,90000,420000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
4,7011.T,三菱重工,6.3%,4.4%,210000,120000,90000,420000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
4,6762.T,TDK,6.3%,4.4%,210000,120000,90000,420000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
4,6146.T,ディスコ,6.3%,4.4%,210000,120000,90000,420000,37.0,5年最大下落が深い / 直近60日が弱い
4,5803.T,フジクラ,6.3%,4.4%,210000,120000,90000,420000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
5,8053.T,住友商事,18.8%,13.1%,787500,450000,337500,1575000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
5,8316.T,三井住友FG,18.8%,13.1%,787500,450000,337500,1575000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
5,6501.T,日立製作所,18.8%,13.1%,787500,450000,337500,1575000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
5,6503.T,三菱電機,6.3%,4.4%,262500,150000,112500,525000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
5,6857.T,アドバンテスト,6.3%,4.4%,262500,150000,112500,525000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
5,8035.T,東京エレクトロン,6.3%,4.4%,262500,150000,112500,525000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
5,7011.T,三菱重工,6.3%,4.4%,262500,150000,112500,525000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
5,6762.T,TDK,6.3%,4.4%,262500,150000,112500,525000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
5,6146.T,ディスコ,6.3%,4.4%,262500,150000,112500,525000,37.0,5年最大下落が深い / 直近60日が弱い
5,5803.T,フジクラ,6.3%,4.4%,262500,150000,112500,525000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
6,8053.T,住友商事,18.8%,13.1%,945000,540000,405000,1890000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6,8316.T,三井住友FG,18.8%,13.1%,945000,540000,405000,1890000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6,6501.T,日立製作所,18.8%,13.1%,945000,540000,405000,1890000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6,6503.T,三菱電機,6.3%,4.4%,315000,180000,135000,630000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
6,6857.T,アドバンテスト,6.3%,4.4%,315000,180000,135000,630000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
6,8035.T,東京エレクトロン,6.3%,4.4%,315000,180000,135000,630000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
6,7011.T,三菱重工,6.3%,4.4%,315000,180000,135000,630000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
6,6762.T,TDK,6.3%,4.4%,315000,180000,135000,630000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
6,6146.T,ディスコ,6.3%,4.4%,315000,180000,135000,630000,37.0,5年最大下落が深い / 直近60日が弱い
6,5803.T,フジクラ,6.3%,4.4%,315000,180000,135000,630000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
7,8053.T,住友商事,18.8%,13.1%,1102500,630000,472500,2205000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
7,8316.T,三井住友FG,18.8%,13.1%,1102500,630000,472500,2205000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
7,6501.T,日立製作所,18.8%,13.1%,1102500,630000,472500,2205000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
7,6503.T,三菱電機,6.3%,4.4%,367500,210000,157500,735000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
7,6857.T,アドバンテスト,6.3%,4.4%,367500,210000,157500,735000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
7,8035.T,東京エレクトロン,6.3%,4.4%,367500,210000,157500,735000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
7,7011.T,三菱重工,6.3%,4.4%,367500,210000,157500,735000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
7,6762.T,TDK,6.3%,4.4%,367500,210000,157500,735000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
7,6146.T,ディスコ,6.3%,4.4%,367500,210000,157500,735000,37.0,5年最大下落が深い / 直近60日が弱い
7,5803.T,フジクラ,6.3%,4.4%,367500,210000,157500,735000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
8,8053.T,住友商事,18.8%,13.1%,1260000,720000,540000,2520000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
8,8316.T,三井住友FG,18.8%,13.1%,1260000,720000,540000,2520000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
8,6501.T,日立製作所,18.8%,13.1%,1260000,720000,540000,2520000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
8,6503.T,三菱電機,6.3%,4.4%,420000,240000,180000,840000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
8,6857.T,アドバンテスト,6.3%,4.4%,420000,240000,180000,840000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
8,8035.T,東京エレクトロン,6.3%,4.4%,420000,240000,180000,840000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
8,7011.T,三菱重工,6.3%,4.4%,420000,240000,180000,840000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
8,6762.T,TDK,6.3%,4.4%,420000,240000,180000,840000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
8,6146.T,ディスコ,6.3%,4.4%,420000,240000,180000,840000,37.0,5年最大下落が深い / 直近60日が弱い
8,5803.T,フジクラ,6.3%,4.4%,420000,240000,180000,840000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
9,8053.T,住友商事,18.8%,13.1%,1417500,810000,607500,2835000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
9,8316.T,三井住友FG,18.8%,13.1%,1417500,810000,607500,2835000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
9,6501.T,日立製作所,18.8%,13.1%,1417500,810000,607500,2835000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
9,6503.T,三菱電機,6.3%,4.4%,472500,270000,202500,945000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
9,6857.T,アドバンテスト,6.3%,4.4%,472500,270000,202500,945000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
9,8035.T,東京エレクトロン,6.3%,4.4%,472500,270000,202500,945000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
9,7011.T,三菱重工,6.3%,4.4%,472500,270000,202500,945000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
9,6762.T,TDK,6.3%,4.4%,472500,270000,202500,945000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
9,6146.T,ディスコ,6.3%,4.4%,472500,270000,202500,945000,37.0,5年最大下落が深い / 直近60日が弱い
9,5803.T,フジクラ,6.3%,4.4%,472500,270000,202500,945000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
10,8053.T,住友商事,18.8%,13.1%,1575000,900000,675000,3150000,25.6,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
10,8316.T,三井住友FG,18.8%,13.1%,1575000,900000,675000,3150000,22.7,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
10,6501.T,日立製作所,18.8%,13.1%,1575000,900000,675000,3150000,28.5,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
10,6503.T,三菱電機,6.3%,4.4%,525000,300000,225000,1050000,20.0,本表の警戒条件(5年最大下落・直近1年下落幅・直近60日・月次勝率・対長期ペース)に該当なし
10,6857.T,アドバンテスト,6.3%,4.4%,525000,300000,225000,1050000,58.5,5年最大下落が深い / 直近1年の下落幅が大きい
10,8035.T,東京エレクトロン,6.3%,4.4%,525000,300000,225000,1050000,29.5,5年最大下落が深い / 直近1年の下落幅が大きい
10,7011.T,三菱重工,6.3%,4.4%,525000,300000,225000,1050000,27.4,直近1年の下落幅が大きい / 直近60日が弱い / 直近1年が長期ペースを下回る
10,6762.T,TDK,6.3%,4.4%,525000,300000,225000,1050000,26.5,5年最大下落が深い / 直近1年の下落幅が大きい / 月次勝率が低い
10,6146.T,ディスコ,6.3%,4.4%,525000,300000,225000,1050000,37.0,5年最大下落が深い / 直近60日が弱い
10,5803.T,フジクラ,6.3%,4.4%,525000,300000,225000,1050000,51.5,5年最大下落が深い / 直近1年の下落幅が大きい
