updated_at,benchmark,benchmark_ticker,trigger_pct,event_date,benchmark_daily_return_pct,ticker,company,structural_rating,stock_return_1d_pct,benchmark_return_1d_pct,excess_1d_pct,stock_return_5d_pct,benchmark_return_5d_pct,excess_5d_pct,stock_return_20d_pct,benchmark_return_20d_pct,excess_20d_pct
2026/05/26 13:08,SOX指数,^SOX,-2,2025-05-30,-2.11,8035.T,東京エレクトロン,S,-1.72,1.57,-3.29,2.83,5.88,-3.06,19.63,16.57,3.06
2026/05/26 13:08,SOX指数,^SOX,-2,2025-05-30,-2.11,7735.T,SCREEN HD,A,-4.08,1.57,-5.65,4.54,5.88,-1.34,14.88,16.57,-1.69
2026/05/26 13:08,SOX指数,^SOX,-2,2025-05-30,-2.11,6146.T,ディスコ,A-,-2.86,1.57,-4.43,-2.34,5.88,-8.23,27.84,16.57,11.27
2026/05/26 13:08,SOX指数,^SOX,-2,2025-05-30,-2.11,6920.T,レーザーテック,A,-3.25,1.57,-4.82,-0.55,5.88,-6.43,35.33,16.57,18.76
2026/05/26 13:08,SOX指数,^SOX,-2,2025-05-30,-2.11,6857.T,アドバンテスト,B,-3.76,1.57,-5.33,7.63,5.88,1.74,43.68,16.57,27.11
2026/05/26 13:08,SOX指数,^SOX,-2,2025-05-30,-2.11,6762.T,TDK,B,-4.00,1.57,-5.57,-5.41,5.88,-11.29,4.72,16.57,-11.85
2026/05/26 13:08,SOX指数,^SOX,-2,2025-06-13,-2.61,8035.T,東京エレクトロン,S,0.90,3.03,-2.13,0.78,2.58,-1.81,13.45,11.86,1.58
2026/05/26 13:08,SOX指数,^SOX,-2,2025-06-13,-2.61,7735.T,SCREEN HD,A,2.06,3.03,-0.97,5.94,2.58,3.36,17.68,11.86,5.82
2026/05/26 13:08,SOX指数,^SOX,-2,2025-06-13,-2.61,6146.T,ディスコ,A-,4.29,3.03,1.25,10.75,2.58,8.16,31.81,11.86,19.95
2026/05/26 13:08,SOX指数,^SOX,-2,2025-06-13,-2.61,6920.T,レーザーテック,A,1.54,3.03,-1.49,12.85,2.58,10.26,33.49,11.86,21.62
2026/05/26 13:08,SOX指数,^SOX,-2,2025-06-13,-2.61,6857.T,アドバンテスト,B,9.63,3.03,6.60,15.60,2.58,13.02,33.17,11.86,21.31
2026/05/26 13:08,SOX指数,^SOX,-2,2025-06-13,-2.61,6762.T,TDK,B,1.24,3.03,-1.79,5.73,2.58,3.14,11.49,11.86,-0.37
2026/05/26 13:08,SOX指数,^SOX,-2,2025-07-31,-3.10,8035.T,東京エレクトロン,S,-18.02,-1.43,-16.59,-23.09,0.46,-23.55,-24.39,4.37,-28.76
2026/05/26 13:08,SOX指数,^SOX,-2,2025-07-31,-3.10,7735.T,SCREEN HD,A,-4.51,-1.43,-3.08,-2.17,0.46,-2.63,-5.01,4.37,-9.38
2026/05/26 13:08,SOX指数,^SOX,-2,2025-07-31,-3.10,6146.T,ディスコ,A-,-3.60,-1.43,-2.17,-11.96,0.46,-12.42,-9.22,4.37,-13.59
