順位,コード,銘柄,長期安定性スコア,判定,データ年数,5年CAGR,10年CAGR,5年S&P差,5年日経差,5年年率ボラ,5年最大下落率,月次勝率,S&P相関,S&Pベータ,リターン点,安定性点,継続性点,確認事項
38,6301.T,コマツ,56.9,要確認,10,18.6,17,6.3,1.3,28.9,-31.4,60,0.4,0.73,61.9,48.2,60.9,長期推移を継続確認
39,9766.T,コナミグループ,55.6,要確認,10,24.2,18.1,11.8,6.9,33.1,-36.9,53.3,0.19,0.39,71.3,33.4,61.5,長期推移を継続確認
40,9432.T,NTT,54.3,要確認,10,8.2,7.9,-4.2,-9.1,14.2,-23.7,55,-0.2,-0.18,44.1,68,51.3,S&P500に劣後
41,5108.T,ブリヂストン,54,要確認,10,10.4,9.9,-1.9,-6.9,19.4,-26.4,58.3,0.26,0.32,48,62.2,52,S&P500に劣後
42,6702.T,富士通,53.9,要確認,10,15.7,24.9,3.3,-1.6,27.3,-33.2,58.3,0.45,0.77,56.9,47.3,58.4,長期推移を継続確認
43,7735.T,SCREEN HD,53.5,要確認,10,37.1,25.7,24.8,19.8,48.7,-59.1,55,0.53,1.62,93.4,0,64.6,大きな下落経験あり / 値動きが大きい
44,8035.T,東京エレクトロン,52.8,要確認,10,29.5,38.2,17.1,12.2,45.2,-55.8,60,0.59,1.7,80.4,9.1,70,大きな下落経験あり / 値動きが大きい
45,4519.T,中外製薬,52.7,要確認,10,15.7,21.7,3.4,-1.6,30.5,-29.1,55,0.18,0.35,56.9,44.1,58.1,長期推移を継続確認
46,6201.T,豊田自動織機,52.4,要確認,10,18.5,18.2,6.1,1.1,27.9,-43.2,56.7,0.21,0.38,61.6,37.2,58.9,長期推移を継続確認
47,3407.T,旭化成,52.2,要確認,10,10.5,12.4,-1.9,-6.8,21.9,-26.2,55,0.22,0.31,48.1,56.8,52.2,S&P500に劣後
48,2503.T,キリンHD,52.2,要確認,10,7.8,6.8,-4.6,-9.5,16.4,-21.8,51.7,-0.23,-0.24,43.5,64.2,49.1,S&P500に劣後 / 上昇月の比率が低い
49,7202.T,いすゞ自動車,51.6,要確認,10,13.4,9.4,1,-3.9,27.1,-26.5,56.7,0.17,0.28,53,51.6,49.3,長期推移を継続確認
50,9020.T,JR東日本,51.2,要確認,10,7.9,2,-4.4,-9.4,16.6,-24.6,58.3,-0.03,-0.03,43.7,67.1,40.8,S&P500に劣後
51,3402.T,東レ,49.2,要確認,10,11.8,3.9,-0.6,-5.5,23.5,-26.5,53.3,0.2,0.29,50.3,53.3,41.9,S&P500に劣後
52,6981.T,村田製作所,49,要確認,10,26.9,21.8,14.6,9.6,45.9,-49.8,58.3,0.43,1.25,76,11.7,58,大きな下落経験あり / 値動きが大きい
53,9697.T,カプコン,49,要確認,10,13.5,27,1.1,-3.8,28.6,-38,58.3,0.25,0.46,53.1,41.9,52.1,長期推移を継続確認
54,4063.T,信越化学工業,48.6,要確認,10,16.5,21.6,4.2,-0.8,27.6,-47.1,55,0.62,1.08,58.4,33.2,54.7,大きな下落経験あり
55,7532.T,パン・パシフィック,48.5,要確認,10,14.9,18,2.6,-2.4,28,-41.5,55,-0.17,-0.3,55.6,37.2,53,長期推移を継続確認
56,6526.T,ソシオネクスト,48.1,長期データ不足,3.6,40.5,,28.2,23.2,67.6,-75.4,46.5,0.3,1.52,99.1,0,33.8,大きな下落経験あり / 値動きが大きい / 上昇月の比率が低い / 10年データは不足
57,7203.T,トヨタ自動車,47.6,要確認,10,13.8,13.7,1.5,-3.5,27,-41.7,55,0.19,0.32,53.8,38.3,50.8,長期推移を継続確認
58,6758.T,ソニーグループ,47.2,要確認,10,10,19.5,-2.3,-7.3,25.5,-39.8,63.3,0.46,0.74,47.3,48.2,45.6,S&P500に劣後
59,7269.T,スズキ,47.1,要確認,10,12,12.4,-0.3,-5.3,26.8,-35.1,51.7,0.17,0.28,50.7,41.2,49.8,S&P500に劣後 / 上昇月の比率が低い
60,6723.T,ルネサス,46.9,要確認,10,30.7,21.3,18.4,13.4,49.2,-58.6,58.3,0.43,1.33,82.5,0.7,54.7,大きな下落経験あり / 値動きが大きい
61,9984.T,ソフトバンクG,46.1,要確認,10,28.1,25.5,15.7,10.8,55.3,-50.8,48.3,0.46,1.62,78,0,59.6,大きな下落経験あり / 値動きが大きい / 上昇月の比率が低い
62,7267.T,ホンダ,45.7,要確認,10,8.9,7.2,-3.5,-8.4,25.4,-34.2,58.3,0.11,0.18,45.3,48.8,41.8,S&P500に劣後
63,7832.T,バンダイナムコHD,43.9,長期安定性は弱い,10,9.1,17.6,-3.3,-8.2,26.7,-35.1,51.7,0.06,0.1,45.7,41.3,44.8,S&P500に劣後 / 上昇月の比率が低い
64,4188.T,三菱ケミカルG,43.5,長期安定性は弱い,10,8,10.9,-4.3,-9.3,26.2,-34.4,53.3,0.26,0.43,43.9,43.7,42.5,S&P500に劣後
65,6954.T,ファナック,42.6,長期安定性は弱い,10,10.9,11.6,-1.5,-6.4,30.7,-39.4,53.3,0.41,0.8,48.7,34.3,44.2,S&P500に劣後
