screening_rank,updated_at,universe_rank,ticker,company,sector,theme,universe_score_100,decision,growth_score_25,quality_valuation_score_25,momentum_score_20,size_score_10,data_score_10,risk_penalty,market_cap_display,market_cap_million_jpy,per_forecast,pbr_actual,roe_actual_pct,dividend_yield_pct,revenue_yoy_pct,revenue_cagr_3period_pct,profit_metric_used,profit_yoy_pct,profit_cagr_3period_pct,price_date,close,ret60_pct,ret1y_pct,above_ma200_pct,volume_ratio20,max_drawdown60_pct,quote_status,performance_status,chart_status,selection_reason
60,2026/05/21 13:29,74,2503.T,キリンHD,飲料,飲料・医薬,14,データ不足,0,0,13,0,3,2,,,,,,,,,,,,2026-05-21,2760.5,8.3,33.6,16.7,0.3,-12.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価13/20 / 規模0/10 / 出来高倍率0.3倍
61,2026/05/21 13:29,55,8002.T,丸紅,商社,資源・電力,12,データ不足,0,0,11,0,3,2,,,,,,,,,,,,2026-05-21,5391,-6.8,92.2,18.2,0.35,-14.3,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価11/20 / 規模0/10 / 出来高倍率0.35倍
62,2026/05/21 13:29,57,5020.T,ENEOS HD,エネルギー,原油・精製,12,データ不足,0,0,11,0,3,2,,,,,,,,,,,,2026-05-21,1308,-9.4,90.9,15.5,0.38,-16.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価11/20 / 規模0/10 / 出来高倍率0.38倍
63,2026/05/21 13:29,58,5019.T,出光興産,エネルギー,原油・化学,12,データ不足,0,0,11,0,3,2,,,,,,,,,,,,2026-05-21,1352.5,-3,55.6,11.4,0.34,-20.7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価11/20 / 規模0/10 / 出来高倍率0.34倍
64,2026/05/21 13:29,62,3407.T,旭化成,素材/住宅,素材・住宅,12,データ不足,0,0,11,0,3,2,,,,,,,,,,,,2026-05-21,1705.5,-4.1,71.5,22,0.4,-21.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価11/20 / 規模0/10 / 出来高倍率0.4倍
65,2026/05/21 13:29,66,4503.T,アステラス製薬,医薬品,医薬・パイプライン,12,データ不足,0,0,11,0,3,2,,,,,,,,,,,,2026-05-21,2299.5,-8.5,66.6,12.3,0.27,-17,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価11/20 / 規模0/10 / 出来高倍率0.27倍
66,2026/05/21 13:29,76,4911.T,資生堂,化粧品,中国・免税,12,データ不足,0,0,9,0,3,0,,,,,,,,,,,,2026-05-21,2783.5,-10.1,22.2,2.8,0.74,-20.6,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価9/20 / 規模0/10 / 主要減点なし
67,2026/05/21 13:29,69,4543.T,テルモ,医療機器,医療機器,11,データ不足,0,0,8,0,3,0,,,,,,,,,,,,2026-05-21,2332.5,18.4,-13.5,0.6,0.6,-13.6,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価8/20 / 規模0/10 / 主要減点なし
68,2026/05/21 13:29,95,1812.T,鹿島,建設,インフラ・防災,10,データ不足,0,0,9,0,3,2,,,,,,,,,,,,2026-05-21,5621,-19.1,57.7,1.6,0.33,-22.1,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価9/20 / 規模0/10 / 出来高倍率0.33倍
69,2026/05/21 13:29,60,4188.T,三菱ケミカルG,化学,素材・石化,9,データ不足,0,0,10,0,3,4,,,,,,,,,,,,2026-05-21,1009.5,-10.7,36.3,10.2,0.5,-25.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価10/20 / 規模0/10 / 60日最大下落-25.4%
70,2026/05/21 13:29,67,4502.T,武田薬品,医薬品,大型医薬・配当,9,データ不足,0,0,8,0,3,2,,,,,,,,,,,,2026-05-21,5237,-9.8,26.5,7,0.29,-12.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価8/20 / 規模0/10 / 出来高倍率0.29倍
71,2026/05/21 13:29,61,3402.T,東レ,素材,炭素繊維・繊維,7,データ不足,0,0,6,0,3,2,,,,,,,,,,,,2026-05-21,1092,-16.7,11.9,2.5,0.3,-21.7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価6/20 / 規模0/10 / 出来高倍率0.3倍
72,2026/05/21 13:29,72,2801.T,キッコーマン,食品,海外食品,7,データ不足,0,0,6,0,3,2,,,,,,,,,,,,2026-05-21,1417,-4.3,4.4,2.6,0.25,-14.3,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価6/20 / 規模0/10 / 出来高倍率0.25倍
73,2026/05/21 13:29,86,2432.T,ディー・エヌ・エー,ゲーム/IT,ゲーム・スポーツ,7,データ不足,0,0,6,0,3,2,,,,,,,,,,,,2026-05-21,2734,1.8,-4.1,9.4,0.27,-12.1,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価6/20 / 規模0/10 / 出来高倍率0.27倍
74,2026/05/21 13:29,88,9766.T,コナミグループ,ゲーム/IP,ゲーム・スポーツ,7,データ不足,0,0,6,0,3,2,,,,,,,,,,,,2026-05-21,19645,1.6,3.7,-8.5,0.32,-12,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価6/20 / 規模0/10 / 出来高倍率0.32倍
75,2026/05/21 13:29,68,4523.T,エーザイ,医薬品,認知症薬,6,データ不足,0,0,3,0,3,0,,,,,,,,,,,,2026-05-21,4257,-16.5,7.2,-9.8,0.68,-19,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 主要減点なし
76,2026/05/21 13:29,93,1802.T,大林組,建設,インフラ・防災,6,データ不足,0,0,9,0,3,6,,,,,,,,,,,,2026-05-21,3260,-18.8,51.4,2.8,0.49,-26.2,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価9/20 / 規模0/10 / 60日最大下落-26.2% / 出来高倍率0.49倍
77,2026/05/21 13:29,94,1803.T,清水建設,建設,インフラ・防災,6,データ不足,0,0,9,0,3,6,,,,,,,,,,,,2026-05-21,2592,-23.9,64.7,1.4,0.47,-27.6,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価9/20 / 規模0/10 / 60日最大下落-27.6% / 出来高倍率0.47倍
78,2026/05/21 13:29,96,9020.T,JR東日本,鉄道,交通・インバウンド,6,データ不足,0,0,5,0,3,2,,,,,,,,,,,,2026-05-21,3716,-3.1,20.8,-0.5,0.27,-12.7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価5/20 / 規模0/10 / 出来高倍率0.27倍
79,2026/05/21 13:29,83,4755.T,楽天グループ,ネット/通信,EC・金融・通信,5,データ不足,0,0,2,0,3,0,,,,,,,,,,,,2026-05-21,756.1,-9.9,-7.9,-14.9,1.47,-14.7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価2/20 / 規模0/10 / 主要減点なし
80,2026/05/21 13:29,92,1801.T,大成建設,建設,インフラ・防災,5,データ不足,0,0,6,0,3,4,,,,,,,,,,,,2026-05-21,13570,-24.8,71.8,-1.6,0.56,-33.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価6/20 / 規模0/10 / 60日最大下落-33.4%
81,2026/05/21 13:29,70,6869.T,シスメックス,医療機器,検査機器,4,データ不足,0,0,3,0,3,2,,,,,,,,,,,,2026-05-21,1367,6.7,-43.9,-16.8,0.44,-16.2,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 出来高倍率0.44倍
82,2026/05/21 13:29,82,4689.T,LINEヤフー,ネット,広告・EC,4,データ不足,0,0,3,0,3,2,,,,,,,,,,,,2026-05-21,413.7,8.2,-19.6,-4.7,0.38,-9.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 出来高倍率0.38倍
83,2026/05/21 13:29,84,4751.T,サイバーエージェント,ネット広告,広告・ゲーム,4,データ不足,0,0,3,0,3,2,,,,,,,,,,,,2026-05-21,1321,0.5,-5.7,-10.2,0.34,-13.9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 出来高倍率0.34倍
84,2026/05/21 13:29,89,9697.T,カプコン,ゲーム,ゲームIP,4,データ不足,0,0,3,0,3,2,,,,,,,,,,,,2026-05-21,3217,1.6,-21.3,-13.9,0.37,-18.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 出来高倍率0.37倍
85,2026/05/21 13:29,80,4661.T,オリエンタルランド,レジャー,テーマパーク,3,データ不足,0,0,0,0,3,0,,,,,,,,,,,,2026-05-21,2168,-21.7,-32.3,-27.8,0.52,-24.7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 主要減点なし
86,2026/05/21 13:29,65,4568.T,第一三共,医薬品,がん領域,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,2657.5,-9.6,-28.8,-19.6,0.31,-18.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.31倍
87,2026/05/21 13:29,73,2502.T,アサヒGHD,飲料,酒類・海外,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,1578,-7.6,-16,-8.1,0.29,-12.3,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.29倍
88,2026/05/21 13:29,75,4452.T,花王,生活必需品,日用品・値上げ,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,5935,-9.9,-6,-7,0.24,-13.9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.24倍
89,2026/05/21 13:29,77,8113.T,ユニ・チャーム,生活必需品,アジア・衛生用品,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,942.5,-12.8,-17.2,-1.9,0.17,-17.2,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.17倍
90,2026/05/21 13:29,79,7532.T,パン・パシフィック,小売,ディスカウント・インバウンド,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,865.5,-9.5,-4.7,-11,0.48,-18.9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.48倍
91,2026/05/21 13:29,81,2413.T,エムスリー,医療IT,医療DX,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,1400,-11.9,-28.5,-29.4,0.3,-23.5,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.3倍
92,2026/05/21 13:29,87,7832.T,バンダイナムコHD,ゲーム/IP,IP・ゲーム,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,3724,-8.2,-19.3,-15.9,0.32,-15.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.32倍
93,2026/05/21 13:29,91,1925.T,大和ハウス工業,住宅/建設,住宅・物流施設,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,4469,-19.8,-9.9,-14.2,0.44,-20.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.44倍
94,2026/05/21 13:29,98,9021.T,JR西日本,鉄道,交通・インバウンド,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,2734.5,-19.3,-11.7,-14.1,0.46,-19.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.46倍
95,2026/05/21 13:29,99,9202.T,ANA HD,空運,旅行・インバウンド,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,2786,-17.7,-2.4,-5.7,0.31,-23.6,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.31倍
96,2026/05/21 13:29,100,3092.T,ZOZO,EC,アパレルEC,1,データ不足,0,0,0,0,3,2,,,,,,,,,,,,2026-05-21,1016.5,-7.4,-35,-19.8,0.39,-16.4,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 出来高倍率0.39倍
97,2026/05/21 13:29,64,4519.T,中外製薬,医薬品,医薬・ロシュ連携,0,データ不足,0,0,3,0,3,6,,,,,,,,,,,,2026-05-21,7885,-16.1,7,-1,0.29,-28.8,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 60日最大下落-28.8% / 出来高倍率0.29倍
98,2026/05/21 13:29,97,9022.T,JR東海,鉄道,新幹線・リニア,0,データ不足,0,0,3,0,3,6,,,,,,,,,,,,2026-05-21,3553,-23.5,16.1,-14.6,0.28,-26.1,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価3/20 / 規模0/10 / 60日最大下落-26.1% / 出来高倍率0.28倍
99,2026/05/21 13:29,78,9843.T,ニトリHD,小売,家具・円高メリット,-3,データ不足,0,0,0,0,3,6,,,,,,,,,,,,2026-05-21,2483.5,-27.5,-18.9,-6.9,0.34,-33.2,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 60日最大下落-33.2% / 出来高倍率0.34倍
100,2026/05/21 13:29,90,3659.T,ネクソン,ゲーム,オンラインゲーム,-3,データ不足,0,0,0,0,3,6,,,,,,,,,,,,2026-05-21,2277,-29.9,-10.7,-30.6,0.45,-34,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,成長0/25 / 質/割安0/25 / 株価0/20 / 規模0/10 / 60日最大下落-34% / 出来高倍率0.45倍
