screening_rank,updated_at,universe_rank,ticker,company,sector,theme,universe_score_100,decision,growth_score_25,quality_valuation_score_25,momentum_score_20,size_score_10,data_score_10,risk_penalty,market_cap_display,market_cap_million_jpy,per_forecast,pbr_actual,roe_actual_pct,dividend_yield_pct,revenue_yoy_pct,revenue_cagr_3period_pct,profit_metric_used,profit_yoy_pct,profit_cagr_3period_pct,price_date,close,ret60_pct,ret1y_pct,above_ma200_pct,volume_ratio20,max_drawdown60_pct,quote_status,performance_status,chart_status,selection_reason
14,2026/05/21 13:29,13,9983.T,ファーストリテイリング,小売,海外成長・消費,61,比較対象,23,12,14,4,10,2,23.48兆円,23478343,47.16,8.6,20.19,0.87,9.6,10.9,営業利益,12.6,21.7,2026-05-21,73780,9.3,56.4,26.6,0.38,-10.7,取得,取得,取得,成長23/25 / 質/割安12/25 / 株価14/20 / 規模4/10 / 出来高倍率0.38倍
15,2026/05/21 13:29,8,8725.T,MS&AD,保険,金利上昇・保険運用,60,比較対象,13,21,14,6,10,4,6.58兆円,6583646,15.06,1.34,17.96,3.85,-15,-7.2,経常利益,20.6,64,2026-05-21,4421,2,34.3,18.7,0.97,-11.1,取得,取得,取得,成長13/25 / 質/割安21/25 / 株価14/20 / 規模6/10 / 売上CAGRマイナス
16,2026/05/21 13:29,22,8035.T,東京エレクトロン,半導体装置,半導体サイクル,60,比較対象,22,10,16,4,8,0,22.74兆円,22737030,,10.8,29.56,,0.5,15.5,営業利益,-10.4,17,2026-05-21,48550,11.9,108.9,40.1,0.57,-19.5,取得,取得,取得,成長22/25 / 質/割安10/25 / 株価16/20 / 規模4/10 / 主要減点なし
17,2026/05/21 13:29,23,6857.T,アドバンテスト,半導体装置,AI半導体検査,60,比較対象,25,11,15,4,9,4,19.72兆円,19723740,42,24.55,57.65,,44.7,52.3,営業利益,118.8,147.3,2026-05-21,26975,0.1,284.8,33.4,0.7,-29,取得,取得,取得,成長25/25 / 質/割安11/25 / 株価15/20 / 規模4/10 / 60日最大下落-29%
18,2026/05/21 13:29,25,6146.T,ディスコ,半導体装置,切断・研削装置,60,比較対象,25,10,11,6,8,0,7.23兆円,7228976,,12.32,25.15,,11.1,19.2,営業利益,10.9,23.4,2026-05-21,66500,-7.4,97.7,18.5,0.69,-23.5,取得,取得,取得,成長25/25 / 質/割安10/25 / 株価11/20 / 規模6/10 / 主要減点なし
19,2026/05/21 13:29,14,6098.T,リクルートHD,人材/IT,求人・HRテック,59,比較対象,17,16,14,4,10,2,14.19兆円,14186105,21.59,8.5,31.05,0.27,3.9,4,営業利益,28.5,25.2,2026-05-21,9634,52.3,14.1,21.4,0.32,-9.9,取得,取得,取得,成長17/25 / 質/割安16/25 / 株価14/20 / 規模4/10 / 出来高倍率0.32倍
20,2026/05/21 13:29,18,6503.T,三菱電機,総合電機,電力制御・FA,58,比較対象,17,13,14,4,10,0,12.8兆円,12797549,26.09,2.76,9.67,0.99,6.8,5.9,営業利益,10.5,14.8,2026-05-21,6057,7.7,108.2,29,0.58,-16.8,取得,取得,取得,成長17/25 / 質/割安13/25 / 株価14/20 / 規模4/10 / 主要減点なし
21,2026/05/21 13:29,29,6981.T,村田製作所,電子部品,MLCC・スマホ/車載,58,比較対象,17,9,18,4,10,0,13.16兆円,13158001,41.64,4.49,8.83,1.04,5,5.7,営業利益,0.8,14.4,2026-05-21,6727,86.3,223.7,98.8,0.83,-19.3,取得,取得,取得,成長17/25 / 質/割安9/25 / 株価18/20 / 規模4/10 / 主要減点なし
22,2026/05/21 13:29,41,6367.T,ダイキン工業,空調,データセンター冷却・空調,56,比較対象,11,15,16,6,10,2,6.95兆円,6948267,24.97,2.14,9.1,1.52,5.5,6.8,営業利益,3.3,2.9,2026-05-21,23735,17.5,49.6,21.1,0.33,-9.3,取得,取得,取得,成長11/25 / 質/割安15/25 / 株価16/20 / 規模6/10 / 出来高倍率0.33倍
23,2026/05/21 13:29,12,9434.T,ソフトバンク,通信,通信・配当,55,比較対象,14,20,9,4,10,2,10.82兆円,10822481,19.25,4.09,19.32,3.9,7.6,7.6,営業利益,5.4,9.1,2026-05-21,226.2,5.8,4.7,2.8,0.36,-4.1,取得,取得,取得,成長14/25 / 質/割安20/25 / 株価9/20 / 規模4/10 / 出来高倍率0.36倍
24,2026/05/21 13:29,31,6971.T,京セラ,電子部品,部品・通信,55,比較対象,14,11,16,6,10,2,4.46兆円,4464962,27.62,1.17,4.3,1.89,2.8,1.6,営業利益,332.8,12.8,2026-05-21,2962,12.3,69.7,30.5,0.45,-16,取得,取得,取得,成長14/25 / 質/割安11/25 / 株価16/20 / 規模6/10 / 出来高倍率0.45倍
25,2026/05/21 13:29,35,6645.T,オムロン,制御機器,FA・ヘルスケア,54,今回は見送り,13,13,16,8,10,6,1.12兆円,1116403,38.7,1.27,3.54,2.03,-4.3,-3.2,経常利益,10.9,32.1,2026-05-21,5415,12.9,40,24.5,0.34,-22.7,取得,取得,取得,成長13/25 / 質/割安13/25 / 株価16/20 / 規模8/10 / 売上CAGRマイナス / 出来高倍率0.34倍
26,2026/05/21 13:29,17,6501.T,日立製作所,総合電機,電力・DX・インフラ,53,今回は見送り,17,12,11,4,9,0,22.97兆円,22968081,26.81,3.47,12.93,,8.2,4.3,営業利益,24.6,20.5,2026-05-21,5066,3.1,32.8,6.7,0.59,-14.6,取得,取得,取得,成長17/25 / 質/割安12/25 / 株価11/20 / 規模4/10 / 主要減点なし
27,2026/05/21 13:29,40,6702.T,富士通,IT,DX・AI・サービス,53,今回は見送り,17,19,3,6,10,2,5.62兆円,5617744,18.07,2.77,23.87,1.7,-1.3,0.4,営業利益,31.4,52.7,2026-05-21,3226,-12.5,0.8,-14.2,0.31,-20.8,取得,取得,取得,成長17/25 / 質/割安19/25 / 株価3/20 / 規模6/10 / 出来高倍率0.31倍
28,2026/05/21 13:29,33,6954.T,ファナック,FA,ロボット・工作機械,52,今回は見送り,14,10,17,6,9,4,7.56兆円,7556494,38.82,3.85,9.28,,7.6,3.9,営業利益,15.7,13.8,2026-05-21,7715,21.2,96.1,38.5,0.57,-25.5,取得,取得,取得,成長14/25 / 質/割安10/25 / 株価17/20 / 規模6/10 / 60日最大下落-25.5%
29,2026/05/21 13:29,44,6902.T,デンソー,自動車部品,車載・電動化,52,今回は見送り,17,21,0,6,10,2,5.4兆円,5395501,13.06,0.91,8.48,3.99,5.3,2.7,営業利益,6.5,20.5,2026-05-21,1854.5,-19.4,-3.3,-11.4,0.22,-19.9,取得,取得,取得,成長17/25 / 質/割安21/25 / 株価0/20 / 規模6/10 / 出来高倍率0.22倍
30,2026/05/21 13:29,16,6861.T,キーエンス,FA,高収益・自動化,50,今回は見送り,14,9,16,4,9,2,18.81兆円,18809682,,5.4,13.53,0.71,10.4,9.9,営業利益,8.4,9.7,2026-05-21,77230,32.2,24.4,30.4,0.39,-18.3,取得,取得,取得,成長14/25 / 質/割安9/25 / 株価16/20 / 規模4/10 / 出来高倍率0.39倍
31,2026/05/21 13:29,19,7011.T,三菱重工,重工/防衛,防衛・電力・宇宙,50,今回は見送り,17,13,6,4,10,0,13.22兆円,13224699,34.66,4.26,12.22,0.74,-1.1,3.3,経常利益,26.7,22.7,2026-05-21,3921,-20.8,30.7,-8.1,0.7,-24.5,取得,取得,取得,成長17/25 / 質/割安13/25 / 株価6/20 / 規模4/10 / 主要減点なし
32,2026/05/21 13:29,32,6594.T,ニデック,モーター,EV・精密モーター,50,今回は見送り,20,9,8,6,9,2,3.12兆円,3117375,,1.7,9.81,0,11.1,8.1,営業利益,47.1,62.7,2026-05-21,2614,11.9,-4.3,8.8,0.32,-20.1,取得,取得,取得,成長20/25 / 質/割安9/25 / 株価8/20 / 規模6/10 / 出来高倍率0.32倍
33,2026/05/21 13:29,47,7269.T,スズキ,自動車,インド・小型車,49,今回は見送り,17,22,0,6,10,6,3.51兆円,3506787,9.06,1.02,13.83,2.86,8,8.4,営業利益,-3.1,12.3,2026-05-21,1786,-23.3,-0.7,-14.9,0.3,-27,取得,取得,取得,成長17/25 / 質/割安22/25 / 株価0/20 / 規模6/10 / 60日最大下落-27% / 出来高倍率0.3倍
34,2026/05/21 13:29,39,6701.T,NEC,IT/防衛,AI・官公庁・防衛,48,今回は見送り,17,12,6,6,9,2,5.67兆円,5672549,,2.51,13.03,0.96,4.7,1.5,営業利益,40.3,38.4,2026-05-21,4159,2.9,14.4,-13.3,0.37,-15.8,取得,取得,取得,成長17/25 / 質/割安12/25 / 株価6/20 / 規模6/10 / 出来高倍率0.37倍
35,2026/05/21 13:29,10,9433.T,KDDI,通信,守り・通信インフラ,46,今回は見送り,11,15,9,4,9,2,11.5兆円,11499829,,2.06,13.99,3.06,4.1,3.2,営業利益,1.1,9.8,2026-05-21,2744.5,2.4,8.4,5.5,0.47,-8.9,取得,取得,取得,成長11/25 / 質/割安15/25 / 株価9/20 / 規模4/10 / 出来高倍率0.47倍
36,2026/05/21 13:29,21,7013.T,IHI,重工/防衛,航空・防衛,45,今回は見送り,10,17,5,8,9,4,2.84兆円,2844410,16.88,4.27,28.39,0.88,1,11.5,営業利益,15.3,,2026-05-21,2628,-35,36.6,-13.2,0.64,-42.3,取得,取得,取得,成長10/25 / 質/割安17/25 / 株価5/20 / 規模8/10 / 60日最大下落-42.3%
37,2026/05/21 13:29,53,8058.T,三菱商事,商社,資源・還元,43,今回は見送り,0,17,16,4,8,2,20.13兆円,20129618,18.06,2.1,8.51,2.3,,,,,,2026-05-21,5426,10.7,84.9,31,0.33,-17.6,取得,取得失敗: HTTP 500,取得,成長0/25 / 質/割安17/25 / 株価16/20 / 規模4/10 / 出来高倍率0.33倍
