base_date,channel,channel_name,count,pass_count,pass_rate_pct,avg_return_1y,avg_excess_vs_sp500,avg_excess_vs_nikkei,worst_max_drawdown,status
2023-06-01,ch1,総合,5.00,5.00,100.00,77.46,52.44,53.90,-19.31,参考合格
2023-06-01,ch2,半導体製造装置・材料,5.00,4.00,80.00,96.76,71.73,73.20,-34.18,参考合格
2023-06-01,ch3,データセンター・電力・冷却・電線,5.00,5.00,100.00,114.53,89.50,90.97,-22.17,参考合格
2024-06-01,ch1,総合,5.00,5.00,100.00,14.91,3.01,17.37,-33.95,参考合格
2024-06-01,ch2,半導体製造装置・材料,5.00,1.00,20.00,-26.22,-38.11,-23.76,-73.52,要改善
2024-06-01,ch3,データセンター・電力・冷却・電線,5.00,5.00,100.00,74.14,62.25,76.60,-52.06,参考合格
2025-06-01,ch1,総合,5.00,5.00,100.00,73.22,45.53,-5.57,-24.63,参考合格
2025-06-01,ch2,半導体製造装置・材料,5.00,5.00,100.00,162.58,134.88,83.79,-28.86,参考合格
2025-06-01,ch3,データセンター・電力・冷却・電線,5.00,4.00,80.00,231.28,203.58,152.49,-45.32,参考合格
