種別,コード,名称,状態,件数,開始日,終了日,取得元
候補銘柄,8058.T,三菱商事,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8053.T,住友商事,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8002.T,丸紅,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1605.T,INPEX,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5020.T,ENEOS HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,5019.T,出光興産,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4063.T,信越化学工業,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4188.T,三菱ケミカルG,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,3402.T,東レ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,3407.T,旭化成,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4005.T,住友化学,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4519.T,中外製薬,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4568.T,第一三共,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4503.T,アステラス製薬,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4502.T,武田薬品,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4523.T,エーザイ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4543.T,テルモ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,6869.T,シスメックス,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,2802.T,味の素,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,2801.T,キッコーマン,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,2502.T,アサヒGHD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,2503.T,キリンHD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4452.T,花王,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4911.T,資生堂,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,8113.T,ユニ・チャーム,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9843.T,ニトリHD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7532.T,パン・パシフィック,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4661.T,オリエンタルランド,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,2413.T,エムスリー,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4689.T,LINEヤフー,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4755.T,楽天グループ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4751.T,サイバーエージェント,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,4385.T,メルカリ,取得済み,1942,2018-06-19,2026-05-28,Yahoo Finance chart API
候補銘柄,2432.T,ディー・エヌ・エー,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,7832.T,バンダイナムコHD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9766.T,コナミグループ,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9697.T,カプコン,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,3659.T,ネクソン,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1925.T,大和ハウス工業,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1801.T,大成建設,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1802.T,大林組,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1803.T,清水建設,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,1812.T,鹿島,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9020.T,JR東日本,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9022.T,JR東海,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9021.T,JR西日本,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,9202.T,ANA HD,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
候補銘柄,3092.T,ZOZO,取得済み,2469,2016-05-20,2026-05-28,Yahoo Finance chart API
ベンチマーク,^GSPC,S&P500,取得済み,2518,2016-05-20,2026-05-27,Yahoo Finance chart API
ベンチマーク,^N225,日経平均,取得済み,2448,2016-05-20,2026-05-28,Yahoo Finance chart API
