updated_at,market_symbol,market_name,month,month_close,market_return_1m_pct,market_return_3m_pct,source
2026/05/20 02:25,^N225,日経平均,2018-05,22304.51,,,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-06,22553.721,1.117,,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-07,22865.15,1.381,,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-08,24120.039,5.488,8.14,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-09,21920.461,-9.119,-2.808,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-10,22351.061,1.964,-2.248,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-11,20014.77,-10.453,-17.02,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2018-12,20773.49,3.791,-5.232,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-01,21385.16,2.944,-4.321,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-02,21205.811,-0.839,5.951,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-03,22258.73,4.965,7.15,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-04,20601.189,-7.447,-3.666,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-05,21275.92,3.275,0.331,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-06,21521.529,1.154,-3.312,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-07,20704.369,-3.797,0.501,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-08,21755.84,5.078,2.256,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-09,22927.039,5.383,6.531,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-10,23293.91,1.6,12.507,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-11,23656.619,1.557,8.737,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2019-12,23205.18,-1.908,1.213,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-01,21142.961,-8.887,-9.234,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-02,18917.01,-10.528,-20.035,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-03,20193.689,6.749,-12.978,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-04,21877.891,8.34,3.476,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-05,22288.141,1.875,17.821,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-06,21710,-2.594,7.509,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-07,23139.76,6.586,5.768,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-08,23185.119,0.196,4.024,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-09,22977.131,-0.897,5.837,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-10,26433.619,15.043,14.235,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-11,27444.17,3.823,18.37,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2020-12,27663.391,0.799,20.395,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-01,28966.01,4.709,9.58,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-02,29178.801,0.735,6.321,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-03,28812.631,-1.255,4.154,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-04,28860.08,0.165,-0.366,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-05,28791.529,-0.238,-1.327,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-06,27283.59,-5.237,-5.307,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-07,28089.539,2.954,-2.67,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-08,29452.66,4.853,2.296,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-09,28892.689,-1.901,5.898,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-10,27821.76,-3.707,-0.953,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-11,28791.711,3.486,-2.244,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2021-12,27001.98,-6.216,-6.544,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-01,26526.82,-1.76,-4.654,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-02,27821.43,4.88,-3.37,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-03,26847.9,-3.499,-0.571,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-04,27279.801,1.609,2.839,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-05,26393.039,-3.251,-5.134,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-06,27801.641,5.337,3.552,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-07,28091.529,1.043,2.976,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-08,25937.211,-7.669,-1.727,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-09,27587.461,6.362,-0.77,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-10,27968.99,1.383,-0.436,Yahoo Finance chart API 1mo
2026/05/20 02:25,^N225,日経平均,2022-11,26094.5,-6.702,0.606,Yahoo Finance chart API 1mo
